node_id,rank,feature_id,beta,rho,num_hops,top_k
1903,1,1149,0.3464481234550476,0.03,2,10
1903,2,40,0.2637125849723816,0.03,2,10
1903,3,1332,0.14910268783569336,0.03,2,10
1903,4,750,0.1467096358537674,0.03,2,10
1903,5,1336,0.12815310060977936,0.03,2,10
1903,6,1425,0.0896490216255188,0.03,2,10
1903,7,1328,0.08580800145864487,0.03,2,10
1903,8,1301,0.06562730669975281,0.03,2,10
1903,9,1060,0.0641288310289383,0.03,2,10
1903,10,1131,0.05613648146390915,0.03,2,10
1749,1,1263,0.16701121628284454,0.03,2,10
1749,2,507,0.05348236858844757,0.03,2,10
1749,3,1132,0.050436682999134064,0.03,2,10
1749,4,623,0.03022914193570614,0.03,2,10
1749,5,495,0.02891041524708271,0.03,2,10
1749,6,19,0.02711244486272335,0.03,2,10
1749,7,1075,0.01667174883186817,0.03,2,10
1749,8,913,0.013915689662098885,0.03,2,10
1749,9,760,0.011722961440682411,0.03,2,10
1749,10,299,0.009369801729917526,0.03,2,10
1726,1,1263,0.24156232178211212,0.03,2,10
1726,2,495,0.06317336112260818,0.03,2,10
1726,3,1075,0.047233548015356064,0.03,2,10
1726,4,398,0.046137485653162,0.03,2,10
1726,5,19,0.027367472648620605,0.03,2,10
1726,6,507,0.023064812645316124,0.03,2,10
1726,7,763,0.01966818794608116,0.03,2,10
1726,8,623,0.016329335048794746,0.03,2,10
1726,9,99,0.013338029384613037,0.03,2,10
1726,10,760,0.011117534711956978,0.03,2,10
2499,1,211,0.14176717400550842,0.03,2,10
2499,2,777,0.14176717400550842,0.03,2,10
2499,3,1426,0.14176717400550842,0.03,2,10
2499,4,89,0.051196202635765076,0.03,2,10
2499,5,110,0.051196202635765076,0.03,2,10
2499,6,289,0.051196202635765076,0.03,2,10
2499,7,373,0.051196202635765076,0.03,2,10
2499,8,431,0.051196202635765076,0.03,2,10
2499,9,442,0.051196202635765076,0.03,2,10
2499,10,726,0.051196202635765076,0.03,2,10
2075,1,1355,0.23542729020118713,0.03,2,10
2075,2,1381,0.1726842224597931,0.03,2,10
2075,3,808,0.15997610986232758,0.03,2,10
2075,4,866,0.1061161458492279,0.03,2,10
2075,5,1071,0.10141286253929138,0.03,2,10
2075,6,1352,0.08100762963294983,0.03,2,10
2075,7,924,0.05230635032057762,0.03,2,10
2075,8,240,0.040199294686317444,0.03,2,10
2075,9,627,0.038888104259967804,0.03,2,10
2075,10,1081,0.03596121072769165,0.03,2,10
1971,1,661,0.23968656361103058,0.03,2,10
1971,2,336,0.13091015815734863,0.03,2,10
1971,3,135,0.09298588335514069,0.03,2,10
1971,4,261,0.06490301340818405,0.03,2,10
1971,5,523,0.06133777275681496,0.03,2,10
1971,6,1353,0.049742814153432846,0.03,2,10
1971,7,1259,0.048816923052072525,0.03,2,10
1971,8,1220,0.02577643282711506,0.03,2,10
1971,9,19,0.025304390117526054,0.03,2,10
1971,10,971,0.022968731820583344,0.03,2,10
1965,1,1254,0.15187713503837585,0.03,2,10
1965,2,44,0.06954170018434525,0.03,2,10
1965,3,48,0.026316482573747635,0.03,2,10
1965,4,221,0.026316482573747635,0.03,2,10
1965,5,285,0.026316482573747635,0.03,2,10
1965,6,303,0.026316482573747635,0.03,2,10
1965,7,335,0.026316482573747635,0.03,2,10
1965,8,447,0.026316482573747635,0.03,2,10
1965,9,540,0.026316482573747635,0.03,2,10
1965,10,640,0.026316482573747635,0.03,2,10
2002,1,474,0.2206304669380188,0.03,2,10
2002,2,647,0.16133959591388702,0.03,2,10
2002,3,507,0.14128313958644867,0.03,2,10
2002,4,774,0.09795857965946198,0.03,2,10
2002,5,125,0.060893066227436066,0.03,2,10
2002,6,661,0.054109759628772736,0.03,2,10
2002,7,77,0.05022935941815376,0.03,2,10
2002,8,1209,0.049080364406108856,0.03,2,10
2002,9,99,0.044248417019844055,0.03,2,10
2002,10,1091,0.043931785970926285,0.03,2,10
2691,1,146,0.2657161355018616,0.03,2,10
2691,2,619,0.2657161355018616,0.03,2,10
2691,3,1348,0.2657161355018616,0.03,2,10
2691,4,1151,0.25028881430625916,0.03,2,10
2691,5,140,0.01491605769842863,0.03,2,10
2691,6,302,0.01491605769842863,0.03,2,10
2691,7,591,0.01491605769842863,0.03,2,10
2691,8,757,0.01491605769842863,0.03,2,10
2691,9,937,0.01491605769842863,0.03,2,10
2691,10,1005,0.01491605769842863,0.03,2,10
2685,1,140,0.34139224886894226,0.03,2,10
2685,2,915,0.19657619297504425,0.03,2,10
2685,3,1290,0.12673215568065643,0.03,2,10
2685,4,1313,0.12673215568065643,0.03,2,10
2685,5,131,0.10281636565923691,0.03,2,10
2685,6,1328,0.04929403215646744,0.03,2,10
2685,7,1066,0.04138077795505524,0.03,2,10
2685,8,1249,0.032188646495342255,0.03,2,10
2685,9,299,0.023827288299798965,0.03,2,10
2685,10,310,0.023827288299798965,0.03,2,10
2421,1,1177,0.3702096939086914,0.03,2,10
2421,2,1381,0.3702096939086914,0.03,2,10
2421,3,19,0.017457526177167892,0.03,2,10
2421,4,191,0.017457526177167892,0.03,2,10
2421,5,385,0.017457526177167892,0.03,2,10
2421,6,464,0.017457526177167892,0.03,2,10
2421,7,580,0.017457526177167892,0.03,2,10
2421,8,638,0.017457526177167892,0.03,2,10
2421,9,660,0.017457526177167892,0.03,2,10
2421,10,748,0.017457526177167892,0.03,2,10
2678,1,647,0.23804481327533722,0.03,2,10
2678,2,507,0.18455322086811066,0.03,2,10
2678,3,918,0.1396583616733551,0.03,2,10
2678,4,1177,0.09898051619529724,0.03,2,10
2678,5,1275,0.07821375131607056,0.03,2,10
2678,6,1338,0.07093227654695511,0.03,2,10
2678,7,509,0.06966955214738846,0.03,2,10
2678,8,1259,0.06100881099700928,0.03,2,10
2678,9,402,0.06092705577611923,0.03,2,10
2678,10,1381,0.05872580036520958,0.03,2,10
2145,1,47,0.30400457978248596,0.03,2,10
2145,2,860,0.18866562843322754,0.03,2,10
2145,3,581,0.13428895175457,0.03,2,10
2145,4,507,0.11559468507766724,0.03,2,10
2145,5,1071,0.11487322300672531,0.03,2,10
2145,6,1397,0.10229838639497757,0.03,2,10
2145,7,505,0.10048804432153702,0.03,2,10
2145,8,284,0.07184762507677078,0.03,2,10
2145,9,1177,0.060703836381435394,0.03,2,10
2145,10,1255,0.023066045716404915,0.03,2,10
2613,1,336,0.8685243725776672,0.03,2,10
2613,2,146,0.07526145130395889,0.03,2,10
2613,3,619,0.07526145130395889,0.03,2,10
2613,4,1274,0.05607759952545166,0.03,2,10
2613,5,67,0.0029394752345979214,0.03,2,10
2613,6,81,0.0029394752345979214,0.03,2,10
2613,7,169,0.0029394752345979214,0.03,2,10
2613,8,252,0.0029394752345979214,0.03,2,10
2613,9,297,0.0029394752345979214,0.03,2,10
2613,10,422,0.0029394752345979214,0.03,2,10
1830,1,495,0.33592331409454346,0.03,2,10
1830,2,581,0.21141985058784485,0.03,2,10
1830,3,1263,0.17276357114315033,0.03,2,10
1830,4,140,0.1351875513792038,0.03,2,10
1830,5,211,0.07415991276502609,0.03,2,10
1830,6,1274,0.05294274911284447,0.03,2,10
1830,7,635,0.03760475665330887,0.03,2,10
1830,8,310,0.0324573740363121,0.03,2,10
1830,9,774,0.025960411876440048,0.03,2,10
1830,10,505,0.02364184521138668,0.03,2,10
2134,1,1005,0.4628387987613678,0.03,2,10
2134,2,1174,0.12413162738084793,0.03,2,10
2134,3,485,0.0958680585026741,0.03,2,10
2134,4,1263,0.07167526334524155,0.03,2,10
2134,5,1177,0.06761759519577026,0.03,2,10
2134,6,262,0.06511669605970383,0.03,2,10
2134,7,1209,0.06435249745845795,0.03,2,10
2134,8,1397,0.04994778707623482,0.03,2,10
2134,9,809,0.024811122566461563,0.03,2,10
2134,10,1230,0.024811122566461563,0.03,2,10
2511,1,1207,0.39946773648262024,0.03,2,10
2511,2,1230,0.2671537399291992,0.03,2,10
2511,3,549,0.21527691185474396,0.03,2,10
2511,4,434,0.15891359746456146,0.03,2,10
2511,5,610,0.031180594116449356,0.03,2,10
2511,6,763,0.031180594116449356,0.03,2,10
2511,7,780,0.031180594116449356,0.03,2,10
2511,8,794,0.031180594116449356,0.03,2,10
2511,9,819,0.031180594116449356,0.03,2,10
2511,10,1054,0.031180594116449356,0.03,2,10
2298,1,4,0.10173140466213226,0.03,2,10
2298,2,168,0.10173140466213226,0.03,2,10
2298,3,246,0.10173140466213226,0.03,2,10
2298,4,392,0.10173140466213226,0.03,2,10
2298,5,701,0.10173140466213226,0.03,2,10
2298,6,935,0.10173140466213226,0.03,2,10
2298,7,1216,0.10173140466213226,0.03,2,10
2298,8,1234,0.10173140466213226,0.03,2,10
2298,9,1253,0.10173140466213226,0.03,2,10
2298,10,1035,0.090780109167099,0.03,2,10
2085,1,581,0.0757313147187233,0.03,2,10
2085,2,292,0.04699796438217163,0.03,2,10
2085,3,734,0.041188232600688934,0.03,2,10
2085,4,94,0.03311276063323021,0.03,2,10
2085,5,994,0.032878629863262177,0.03,2,10
2085,6,786,0.030988305807113647,0.03,2,10
2085,7,1149,0.027508385479450226,0.03,2,10
2085,8,3,0.026543691754341125,0.03,2,10
2085,9,1393,0.026355944573879242,0.03,2,10
2085,10,2,0.026179660111665726,0.03,2,10
2304,1,234,0.16135163605213165,0.03,2,10
2304,2,540,0.12048166245222092,0.03,2,10
2304,3,1254,0.1147083044052124,0.03,2,10
2304,4,125,0.09033899009227753,0.03,2,10
2304,5,455,0.08775048702955246,0.03,2,10
2304,6,647,0.0689496099948883,0.03,2,10
2304,7,19,0.0682351142168045,0.03,2,10
2304,8,933,0.06056208163499832,0.03,2,10
2304,9,1328,0.048478174954652786,0.03,2,10
2304,10,911,0.048243679106235504,0.03,2,10
2140,1,778,0.26781392097473145,0.03,2,10
2140,2,1308,0.23564966022968292,0.03,2,10
2140,3,1432,0.10345466434955597,0.03,2,10
2140,4,647,0.0894252210855484,0.03,2,10
2140,5,591,0.0815703347325325,0.03,2,10
2140,6,1209,0.07007379084825516,0.03,2,10
2140,7,58,0.05906723812222481,0.03,2,10
2140,8,155,0.05378452688455582,0.03,2,10
2140,9,1073,0.05378452688455582,0.03,2,10
2140,10,41,0.03577597066760063,0.03,2,10
2207,1,774,0.2137100249528885,0.03,2,10
2207,2,19,0.16475951671600342,0.03,2,10
2207,3,814,0.15207000076770782,0.03,2,10
2207,4,571,0.14574328064918518,0.03,2,10
2207,5,860,0.1072969138622284,0.03,2,10
2207,6,330,0.08750460296869278,0.03,2,10
2207,7,1353,0.08750460296869278,0.03,2,10
2207,8,1144,0.07457542419433594,0.03,2,10
2207,9,243,0.06871297955513,0.03,2,10
2207,10,1266,0.060020849108695984,0.03,2,10
1748,1,1263,0.18909427523612976,0.03,2,10
1748,2,495,0.046455591917037964,0.03,2,10
1748,3,1075,0.037556782364845276,0.03,2,10
1748,4,507,0.03664655238389969,0.03,2,10
1748,5,623,0.03540753573179245,0.03,2,10
1748,6,19,0.030925842002034187,0.03,2,10
1748,7,615,0.014244811609387398,0.03,2,10
1748,8,760,0.01416090689599514,0.03,2,10
1748,9,774,0.014112966135144234,0.03,2,10
1748,10,299,0.013017563149333,0.03,2,10
2374,1,763,0.1507735550403595,0.03,2,10
2374,2,956,0.1507735550403595,0.03,2,10
2374,3,1197,0.1507735550403595,0.03,2,10
2374,4,1263,0.1507735550403595,0.03,2,10
2374,5,1332,0.1507735550403595,0.03,2,10
2374,6,1355,0.07144595682621002,0.03,2,10
2374,7,40,0.05117664113640785,0.03,2,10
2374,8,82,0.05117664113640785,0.03,2,10
2374,9,758,0.05117664113640785,0.03,2,10
2374,10,911,0.05117664113640785,0.03,2,10
2478,1,211,0.35473331809043884,0.03,2,10
2478,2,540,0.16702532768249512,0.03,2,10
2478,3,1132,0.0552426353096962,0.03,2,10
2478,4,507,0.048210933804512024,0.03,2,10
2478,5,1143,0.048210933804512024,0.03,2,10
2478,6,238,0.025516601279377937,0.03,2,10
2478,7,258,0.025516601279377937,0.03,2,10
