node_id,rho,neighbourhood_size,subgraph_edges,active_features,degenerate_features,output_bandwidth,output_centered_norm,lipschitz_constant,step_size,converged,iterations,initial_objective,final_objective,objective_reduction,relative_change,num_nonzero,has_full_top_k,max_beta,min_beta,num_top_features,top_10_features,top_10_betas
1903,0.001,26,78,260,1173,0.19525080919265747,6.97870397567749,12.70218563079834,0.07872661203145981,True,331,0.5,0.23096293210983276,0.26903706789016724,9.343191109678628e-09,59,True,0.3605060577392578,0.0,10,1149;40;1332;750;1336;1425;1328;1060;1301;1131,0.3605060577;0.2757619321;0.1647167057;0.1572748125;0.1436921656;0.1028006375;0.0971477479;0.0791547000;0.0750713646;0.0701353475
1903,0.003,26,78,260,1173,0.19525080919265747,6.97870397567749,12.70218563079834,0.07872661203145981,True,329,0.5,0.23499548435211182,0.2650045156478882,9.275495926885924e-09,59,True,0.3596239984035492,0.0,10,1149;40;1332;750;1336;1425;1328;1060;1301;1131,0.3596239984;0.2754001915;0.1638670117;0.1565102637;0.1427486241;0.1018878147;0.0965254605;0.0780879855;0.0744722709;0.0693626702
1903,0.01,26,78,260,1173,0.19525080919265747,6.97870397567749,12.70218563079834,0.07872661203145981,True,315,0.5,0.24865084886550903,0.25134915113449097,9.307402848435231e-09,46,True,0.3566122055053711,0.0,10,1149;40;1332;750;1336;1425;1328;1060;1301;1131,0.3566122055;0.2736852467;0.1608650833;0.1538566649;0.1394459903;0.0987132192;0.0944590047;0.0744398609;0.0723569170;0.0666226819
1903,0.03,26,78,260,1173,0.19525080919265747,6.97870397567749,12.70218563079834,0.07872661203145981,True,292,0.5,0.28426510095596313,0.21573489904403687,9.005460377409236e-09,29,True,0.3464481234550476,0.0,10,1149;40;1332;750;1336;1425;1328;1301;1060;1131,0.3464481235;0.2637125850;0.1491026878;0.1467096359;0.1281531006;0.0896490216;0.0858080015;0.0656273067;0.0641288310;0.0561364815
1903,0.1,26,78,260,1173,0.19525080919265747,6.97870397567749,12.70218563079834,0.07872661203145981,True,257,0.5,0.37886539101600647,0.12113460898399353,7.679882507716229e-09,22,True,0.3033585846424103,0.0,10,1149;40;750;1332;1336;1328;1425;1301;1060;1131,0.3033585846;0.2286518067;0.1109268889;0.1018539742;0.0835603029;0.0453804508;0.0409298465;0.0389212742;0.0244807843;0.0177917276
1903,0.3,26,78,260,1173,0.19525080919265747,6.97870397567749,12.70218563079834,0.07872661203145981,True,177,0.5,0.48454487323760986,0.015455126762390137,7.450580596923828e-09,2,False,0.1457369178533554,0.0,2,1149;40,0.1457369179;0.0820673332
1749,0.001,194,768,839,594,0.1985519975423813,41.786041259765625,7.578358173370361,0.13195469975471497,True,863,0.5000004172325134,0.44811758399009705,0.05188283324241638,9.32118027208162e-09,293,True,0.17598439753055573,0.0,10,1263;1132;507;623;19;176;495;913;296;299,0.1759843975;0.0691448376;0.0620242804;0.0418660454;0.0369107425;0.0361749604;0.0349359624;0.0315995626;0.0281016827;0.0259474982
1749,0.003,194,768,839,594,0.1985519975423813,41.786041259765625,7.578358173370361,0.13195469975471497,True,854,0.5000004172325134,0.45203137397766113,0.047969043254852295,9.082819829586697e-09,252,True,0.17584604024887085,0.0,10,1263;1132;507;623;19;495;176;913;296;1075,0.1758460402;0.0683908090;0.0620942414;0.0413194001;0.0364604332;0.0350245684;0.0343922712;0.0304939076;0.0263012350;0.0255557783
1749,0.01,194,768,839,594,0.1985519975423813,41.786041259765625,7.578358173370361,0.13195469975471497,True,781,0.5000004172325134,0.4627935290336609,0.03720688819885254,9.990035465534675e-09,143,True,0.17502717673778534,0.0,10,1263;1132;507;623;495;19;176;913;1075;299,0.1750271767;0.0648965538;0.0612609349;0.0392526314;0.0345777459;0.0344995148;0.0281555243;0.0269061718;0.0246556066;0.0219783075
1749,0.03,194,768,839,594,0.1985519975423813,41.786041259765625,7.578358173370361,0.13195469975471497,True,201,0.5000004172325134,0.4790608286857605,0.02093958854675293,9.900094966042161e-09,35,True,0.16701121628284454,0.0,10,1263;507;1132;623;495;19;1075;913;760;299,0.1670112163;0.0534823686;0.0504366830;0.0302291419;0.0289104152;0.0271124449;0.0166717488;0.0139156897;0.0117229614;0.0093698017
