node_id,prediction_stability_0_01,mean_jaccard_0_01,prediction_stability_0_20,mean_jaccard_0_20,prediction_stability_change,explanation_stability_change,endpoint_jaccard_available,prediction_endpoint_unchanged,explanation_endpoint_decreased,direct_decoupling_event
1720,1.0,0.9272727272727274,1.0,0.5239427239427239,0.0,-0.40333000333000346,True,True,True,True
1721,1.0,0.9636363636363636,1.0,0.6733932733932735,0.0,-0.29024309024309014,True,True,True,True
1722,1.0,0.9090909090909092,1.0,0.443956043956044,0.0,-0.4651348651348652,True,True,True,True
1726,1.0,0.9090909090909092,1.0,0.543956043956044,0.0,-0.36513486513486515,True,True,True,True
1744,1.0,0.912121212121212,1.0,0.4681318681318681,0.0,-0.4439893439893439,True,True,True,True
1745,1.0,0.9272727272727274,1.0,0.5073260073260073,0.0,-0.41994671994672006,True,True,True,True
1748,1.0,0.912121212121212,1.0,0.4594322344322344,0.0,-0.4526889776889776,True,True,True,True
1749,1.0,0.8727272727272728,1.0,0.4817765567765567,0.0,-0.3909507159507161,True,True,True,True
1761,1.0,0.8303030303030303,1.0,0.5462870462870463,0.0,-0.28401598401598405,True,True,True,True
1765,1.0,0.9636363636363636,1.0,0.4868131868131867,0.0,-0.47682317682317693,True,True,True,True
1804,1.0,0.9454545454545455,1.0,0.6864801864801866,0.0,-0.25897435897435894,True,True,True,True
1805,1.0,0.9272727272727274,1.0,0.5139194139194139,0.0,-0.4133533133533135,True,True,True,True
1812,1.0,0.8757575757575757,1.0,0.49010989010989,0.0,-0.38564768564768576,True,True,True,True
1822,1.0,0.8424242424242424,1.0,0.5222444222444222,0.0,-0.32017982017982016,True,True,True,True
1830,1.0,0.9303030303030304,1.0,0.5010989010989011,0.0,-0.4292041292041293,True,True,True,True
1856,1.0,1.0,1.0,0.6218781218781219,0.0,-0.37812187812187814,True,True,True,True
1898,1.0,0.9818181818181818,1.0,0.4648351648351648,0.0,-0.516983016983017,True,True,True,True
1903,1.0,0.9454545454545455,1.0,0.4579670329670329,0.0,-0.48748751248751265,True,True,True,True
1917,1.0,0.8424242424242425,1.0,0.429120879120879,0.0,-0.41330336330336354,True,True,True,True
1934,1.0,0.9454545454545455,1.0,0.4520792932557638,0.0,-0.49337525219878176,True,True,True,True
1948,1.0,0.9272727272727274,1.0,0.351255117431588,0.0,-0.5760176098411394,True,True,True,True
1954,1.0,0.9272727272727274,1.0,0.5495837495837496,0.0,-0.3776889776889778,True,True,True,True
1955,1.0,0.9090909090909092,1.0,0.4656593406593406,0.0,-0.44343156843156856,True,True,True,True
1965,1.0,0.9454545454545455,1.0,0.643023643023643,0.0,-0.30243090243090254,True,True,True,True
1966,1.0,0.9818181818181818,1.0,0.4534798534798535,0.0,-0.5283383283383283,True,True,True,True
1971,1.0,0.806060606060606,1.0,0.3645604395604395,0.0,-0.44150016650016655,True,True,True,True
2002,1.0,0.8727272727272728,1.0,0.4886446886446887,0.0,-0.3840825840825841,True,True,True,True
2041,1.0,0.890909090909091,1.0,0.3128851540616246,0.0,-0.5780239368474664,True,True,True,True
2052,1.0,0.8424242424242424,1.0,0.3875604787369493,0.0,-0.4548637636872931,True,True,True,True
2059,1.0,0.890909090909091,1.0,0.3807422969187675,0.0,-0.5101667939903235,True,True,True,True
2060,1.0,0.5896167557932264,1.0,0.2953673777203188,0.0,-0.2942493780729076,True,True,True,True
2074,1.0,0.9484848484848484,1.0,0.4142857142857142,0.0,-0.5341991341991341,True,True,True,True
2075,1.0,0.7878787878787878,1.0,0.3569327731092436,0.0,-0.43094601476954425,True,True,True,True
2076,1.0,0.912121212121212,1.0,0.3500646412411118,0.0,-0.5620565708801002,True,True,True,True
2085,1.0,0.8575757575757577,1.0,0.3212184873949579,0.0,-0.5363572701807997,True,True,True,True
2096,1.0,0.9636363636363636,1.0,0.5591991341991343,0.0,-0.4044372294372294,True,True,True,True
2112,1.0,0.8939393939393939,1.0,0.3812271062271061,0.0,-0.5127122877122878,True,True,True,True
2122,1.0,0.8606060606060606,1.0,0.4009950833480245,0.0,-0.4596109772580361,True,True,True,True
2134,1.0,0.8659673659673659,1.0,0.3686920922215039,0.0,-0.497275273745862,True,True,True,True
2137,1.0,0.9272727272727274,1.0,0.5207375957375957,0.0,-0.40653513153513166,True,True,True,True
2140,1.0,0.8393939393939395,1.0,0.3361757523522229,0.0,-0.5032181870417165,True,True,True,True
2145,1.0,0.8606060606060606,1.0,0.4992673992673991,0.0,-0.3613386613386615,True,True,True,True
2146,1.0,0.8731601731601731,1.0,0.3929217840982547,0.0,-0.48023838906191846,True,True,True,True
2155,1.0,0.8575757575757577,1.0,0.4169413919413919,0.0,-0.44063436563436575,True,True,True,True
2157,1.0,0.9272727272727274,1.0,0.3079778065072182,0.0,-0.6192949207655092,True,True,True,True
