nominal_mask_rate,num_nodes,num_raw_observations,mean_realized_mask_rate,prediction_stability_mean,prediction_stability_ci_low,prediction_stability_ci_high,prediction_stability_nodes,num_prediction_same_raw,num_prediction_changed_raw,explanation_availability_mean,explanation_availability_ci_low,explanation_availability_ci_high,explanation_availability_nodes,num_explanations_available_raw,num_explanations_unavailable_raw,mean_jaccard,mean_jaccard_ci_low,mean_jaccard_ci_high,jaccard_contributing_nodes,mean_jaccard_pred_same,mean_jaccard_pred_same_ci_low,mean_jaccard_pred_same_ci_high,pred_same_jaccard_contributing_nodes,num_pred_same_with_explanation_raw,mean_absolute_confidence_delta,mean_absolute_confidence_delta_ci_low,mean_absolute_confidence_delta_ci_high,confidence_delta_contributing_nodes,num_fewer_than_top_k_nonzero,num_optimizer_nonconvergence
0.01,97,970,0.010586159307998142,0.9969072164948453,0.9917525773195877,1.0,97,967,3,0.9876288659793816,0.9659793814432989,1.0,97,958,12,0.9015197658617914,0.8869825534027324,0.9148679134439441,97,0.9014442686213457,0.88722459532079,0.9149497645824965,97,955,0.0049844293557491,0.004333438687794554,0.005725006348616633,97,9,3
0.05,97,970,0.049858448917351056,0.9876288659793816,0.9762886597938143,0.9969072164948453,97,958,12,0.9835051546391753,0.9577319587628866,1.0,97,954,16,0.7252533170578513,0.7073290877859658,0.7429475410097346,96,0.7266146559957836,0.7088978821565373,0.744264961277829,96,942,0.020855942045904876,0.018997753774459166,0.02285608187241033,97,10,6
0.1,97,970,0.10036880729095642,0.9835051546391752,0.9721649484536082,0.9927835051546393,97,954,16,0.9824742268041237,0.9577319587628865,1.0,97,953,17,0.6045006801430152,0.5862332351361788,0.6231055641520916,97,0.6063210600263986,0.5878783145785219,0.6249024697730139,97,937,0.038929439558810744,0.0358288617766241,0.04218446945061077,97,7,10
0.2,97,970,0.20050363517909217,0.9587628865979383,0.9309278350515465,0.9814690721649483,97,930,40,0.9855670103092783,0.9649484536082473,0.9979381443298969,97,956,14,0.45406386062970855,0.43556911313221625,0.47279842031787317,97,0.4560321732631487,0.43714649712934917,0.47524193230047435,97,916,0.07478330636915469,0.06843720989589835,0.08132679591800285,97,9,5
