outcome,lower_rate,higher_rate,contrast,difference_orientation,n_paired_nodes,lower_rate_mean,higher_rate_mean,mean_paired_difference,median_paired_difference,std_paired_difference,paired_difference_ci_low,paired_difference_ci_high,num_nodes_higher_value,num_nodes_lower_value,num_nodes_equal_value,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_nonzero_pairs,wilcoxon_method,wilcoxon_continuity_correction,rank_biserial,positive_rank_sum,negative_rank_sum,bootstrap_resamples,confidence_level,wilcoxon_p_holm,holm_family,holm_family_size,holm_alpha,holm_reject_at_alpha
prediction_stability,0.01,0.05,0.01_to_0.05,higher_rate_minus_lower_rate,97,0.9969072164948453,0.9876288659793816,-0.009278350515463916,0.0,0.0522064695599839,-0.020618556701030927,-0.0010309278350515462,1,5,91,2.0,0.05968873625319346,6,local_tie_corrected_normal_approximation,False,-0.8095238095238095,2.0,19.0,10000,0.95,0.11937747250638692,prediction_stability,6,0.05,False
prediction_stability,0.01,0.1,0.01_to_0.10,higher_rate_minus_lower_rate,97,0.9969072164948453,0.9835051546391752,-0.013402061855670104,0.0,0.06060264360876622,-0.02577319587628866,-0.0020618556701030933,2,10,85,13.0,0.02947417601717618,12,local_tie_corrected_normal_approximation,False,-0.6666666666666666,13.0,65.0,10000,0.95,0.08842252805152853,prediction_stability,6,0.05,False
prediction_stability,0.01,0.2,0.01_to_0.20,higher_rate_minus_lower_rate,97,0.9969072164948453,0.9587628865979383,-0.03814432989690722,0.0,0.12783721661507666,-0.06494845360824743,-0.015463917525773196,0,11,86,0.0,0.002853461855513435,11,local_tie_corrected_normal_approximation,False,-1.0,0.0,66.0,10000,0.95,0.01712077113308061,prediction_stability,6,0.05,True
prediction_stability,0.05,0.1,0.05_to_0.10,higher_rate_minus_lower_rate,97,0.9876288659793816,0.9835051546391752,-0.004123711340206186,0.0,0.047691556234646756,-0.013402061855670104,0.0051546391752577345,3,8,86,20.0,0.19582147392261468,11,local_tie_corrected_normal_approximation,False,-0.3939393939393939,20.0,46.0,10000,0.95,0.19582147392261468,prediction_stability,6,0.05,False
prediction_stability,0.05,0.2,0.05_to_0.20,higher_rate_minus_lower_rate,97,0.9876288659793816,0.9587628865979383,-0.028865979381443297,0.0,0.10404202164530077,-0.05154639175257732,-0.010309278350515464,0,11,86,0.0,0.0028962682657645523,11,local_tie_corrected_normal_approximation,False,-1.0,0.0,66.0,10000,0.95,0.01712077113308061,prediction_stability,6,0.05,True
prediction_stability,0.1,0.2,0.10_to_0.20,higher_rate_minus_lower_rate,97,0.9835051546391752,0.9587628865979383,-0.024742268041237112,0.0,0.09132237750027321,-0.044329896907216504,-0.008247422680412377,2,11,84,5.0,0.00404562143771425,13,local_tie_corrected_normal_approximation,False,-0.8901098901098901,5.0,86.0,10000,0.95,0.01712077113308061,prediction_stability,6,0.05,True
explanation_availability,0.01,0.05,0.01_to_0.05,higher_rate_minus_lower_rate,97,0.9876288659793816,0.9835051546391753,-0.004123711340206185,0.0,0.02465396254997982,-0.009278350515463916,0.0,0,3,94,0.0,0.10880943004054569,3,local_tie_corrected_normal_approximation,False,-1.0,0.0,6.0,10000,0.95,0.6528565802432742,explanation_availability,6,0.05,False
explanation_availability,0.01,0.1,0.01_to_0.10,higher_rate_minus_lower_rate,97,0.9876288659793816,0.9824742268041237,-0.005154639175257731,0.0,0.05277928496069456,-0.017525773195876285,0.002061855670103093,1,2,94,2.0,0.5929800980174267,3,local_tie_corrected_normal_approximation,False,-0.3333333333333333,2.0,4.0,10000,0.95,1.0,explanation_availability,6,0.05,False
explanation_availability,0.01,0.2,0.01_to_0.20,higher_rate_minus_lower_rate,97,0.9876288659793816,0.9855670103092783,-0.002061855670103091,0.0,0.02491394122482334,-0.007216494845360823,0.0030927835051546408,2,4,91,10.0,0.9086766781799486,6,local_tie_corrected_normal_approximation,False,0.047619047619047616,11.0,10.0,10000,0.95,1.0,explanation_availability,6,0.05,False
explanation_availability,0.05,0.1,0.05_to_0.10,higher_rate_minus_lower_rate,97,0.9835051546391753,0.9824742268041237,-0.0010309278350515462,0.0,0.039514884750413835,-0.009278350515463916,0.006185567010309279,2,2,93,4.5,0.8487665010168555,4,local_tie_corrected_normal_approximation,False,-0.1,4.5,5.5,10000,0.95,1.0,explanation_availability,6,0.05,False
explanation_availability,0.05,0.2,0.05_to_0.20,higher_rate_minus_lower_rate,97,0.9835051546391753,0.9855670103092783,0.002061855670103094,0.0,0.0407721857890967,-0.005154639175257731,0.011340206185567012,2,3,92,6.0,0.6650055421020291,5,local_tie_corrected_normal_approximation,False,0.2,9.0,6.0,10000,0.95,1.0,explanation_availability,6,0.05,False
explanation_availability,0.1,0.2,0.10_to_0.20,higher_rate_minus_lower_rate,97,0.9824742268041237,0.9855670103092783,0.0030927835051546408,0.0,0.06527762545374738,-0.007216494845360823,0.017525773195876292,2,4,91,9.0,0.7065649253727413,6,local_tie_corrected_normal_approximation,False,-0.14285714285714285,9.0,12.0,10000,0.95,1.0,explanation_availability,6,0.05,False
mean_absolute_confidence_delta,0.01,0.05,0.01_to_0.05,higher_rate_minus_lower_rate,97,0.004984429355749054,0.020855942045904834,0.015871512690155784,0.013672004640102398,0.009616900676191751,0.013998401788322583,0.01782601432778787,95,2,0,8.0,1.5625712345248693e-17,97,local_tie_corrected_normal_approximation,False,0.9966337050284031,4745.0,8.0,10000,0.95,7.308714592249795e-17,mean_absolute_confidence_delta,6,0.05,True
mean_absolute_confidence_delta,0.01,0.1,0.01_to_0.10,higher_rate_minus_lower_rate,97,0.004984429355749054,0.038929439558810695,0.03394501020306165,0.032437273859977696,0.01619537863562303,0.030778792526995398,0.03723494648895005,96,1,0,3.0,1.3374811380484905e-17,97,local_tie_corrected_normal_approximation,False,0.9987376393856512,4750.0,3.0,10000,0.95,7.308714592249795e-17,mean_absolute_confidence_delta,6,0.05,True
mean_absolute_confidence_delta,0.01,0.2,0.01_to_0.20,higher_rate_minus_lower_rate,97,0.004984429355749054,0.07478330636915463,0.06979887701340559,0.0694545805454255,0.032270386619506354,0.0633329221759875,0.07627278981903164,97,0,0,0.0,1.2181190987082992e-17,97,local_tie_corrected_normal_approximation,False,1.0,4753.0,0.0,10000,0.95,7.308714592249795e-17,mean_absolute_confidence_delta,6,0.05,True
mean_absolute_confidence_delta,0.05,0.1,0.05_to_0.10,higher_rate_minus_lower_rate,97,0.020855942045904834,0.038929439558810695,0.01807349751290586,0.017435535788536103,0.014981616397555944,0.01511365494738841,0.02103155125623817,89,8,0,191.0,3.722342922809595e-15,97,local_tie_corrected_normal_approximation,False,0.9196297075531243,4562.0,191.0,10000,0.95,3.722342922809595e-15,mean_absolute_confidence_delta,6,0.05,True
mean_absolute_confidence_delta,0.05,0.2,0.05_to_0.20,higher_rate_minus_lower_rate,97,0.020855942045904834,0.07478330636915463,0.0539273643232498,0.0537706911563873,0.029111079910634843,0.048324503373815546,0.059926170295238786,95,2,0,3.0,1.3374811380484905e-17,97,local_tie_corrected_normal_approximation,False,0.9987376393856512,4750.0,3.0,10000,0.95,7.308714592249795e-17,mean_absolute_confidence_delta,6,0.05,True
mean_absolute_confidence_delta,0.1,0.2,0.10_to_0.20,higher_rate_minus_lower_rate,97,0.038929439558810695,0.07478330636915463,0.035853866810343936,0.035449713468551594,0.023070365347126854,0.031230584570235517,0.04042961170877687,93,4,0,46.0,5.043143852276626e-17,97,local_tie_corrected_normal_approximation,False,0.980643803913318,4707.0,46.0,10000,0.95,1.0086287704553252e-16,mean_absolute_confidence_delta,6,0.05,True
